,customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,no_partners_no_dependents,no_dependents_yes_partners,dependents_no_partners,yes_dependents_and_partners,start_date,average_monthly_charges,validate_monthly_charges,contract_type_desc,phone_type_desc,internet_type_desc,is_auto
1722,2495-INZWQ,Male,0,No,No,0,1,0,Electronic check,$44.55,174.3,Yes,4,FALSE,TRUE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20201231,$44.55,TRUE,Month-to-Month,No Phone Service,DSL,False
1723,2495-KZNFB,Female,0,No,No,2,2,0,Electronic check,$90.65,2989.6,No,33,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20180731,$90.65,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1727,2501-XWWTZ,Male,0,No,No,1,2,0,Electronic check,$70.20,760.05,No,11,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200604,$70.20,TRUE,Month-to-Month,One Line,Fiber Optic,False
1728,2504-DSHIH,Male,1,Yes,No,2,2,0,Electronic check,$86.80,1975.85,No,23,FALSE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20190607,$86.80,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1729,2506-CLAKW,Female,0,No,No,1,2,0,Bank transfer (automatic),$98.15,567.45,Yes,6,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20201105,$98.15,TRUE,Month-to-Month,One Line,Fiber Optic,True
1730,2506-TNFCO,Female,1,Yes,No,1,2,0,Electronic check,$69.55,69.55,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20210330,$69.55,TRUE,Month-to-Month,One Line,Fiber Optic,False
1731,2507-QZPQS,Male,0,No,No,2,2,0,Electronic check,$95.70,1451.1,No,15,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200124,$95.70,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1735,2514-GINMM,Male,0,No,No,1,2,0,Electronic check,$79.50,79.5,Yes,1,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210330,$79.50,TRUE,Month-to-Month,One Line,Fiber Optic,False
1736,2516-VQRRV,Female,1,No,No,2,2,0,Mailed check,$75.45,158.4,Yes,2,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210225,$75.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1738,2519-ERQOJ,Male,1,No,No,0,1,0,Electronic check,$54.60,1803.7,No,33,FALSE,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20180730,$54.60,TRUE,Month-to-Month,No Phone Service,DSL,False
1739,2519-FAKOD,Male,0,No,Yes,2,2,0,Bank transfer (automatic),$99.25,3777.15,Yes,38,FALSE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,FALSE,20180227,$99.25,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
1743,2522-AHJXR,Male,0,Yes,No,2,2,0,Bank transfer (automatic),$109.45,6572.85,No,60,FALSE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20160429,$109.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
1745,2523-EWWZL,Female,0,Yes,No,1,2,0,Electronic check,$76.10,2093.4,No,28,TRUE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20190114,$76.10,TRUE,Month-to-Month,One Line,Fiber Optic,False
1747,2528-HFYZX,Male,1,Yes,No,1,2,0,Electronic check,$76.45,1233.4,Yes,16,FALSE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20191226,$76.45,TRUE,Month-to-Month,One Line,Fiber Optic,False
1751,2533-TIBIX,Male,0,Yes,Yes,0,1,0,Bank transfer (automatic),$30.20,469.65,No,16,FALSE,FALSE,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE,20200112,$30.20,TRUE,Month-to-Month,No Phone Service,DSL,True
1753,2538-OIMXF,Female,0,No,Yes,0,1,0,Mailed check,$24.70,24.7,No,1,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE,20210330,$24.70,TRUE,Month-to-Month,No Phone Service,DSL,False
1755,2542-HYGIQ,Female,0,No,No,1,0,0,Credit card (automatic),$19.95,19.95,No,1,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210330,$19.95,TRUE,Month-to-Month,One Line,No Internet Service,True
1756,2545-EBUPK,Female,1,No,No,2,2,0,Electronic check,$84.05,186.05,No,2,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210221,$84.05,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1765,2565-JSLRY,Male,0,No,No,2,0,0,Mailed check,$24.05,24.05,Yes,1,FALSE,TRUE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210330,$24.05,TRUE,Month-to-Month,Two or More Lines,No Internet Service,False
1766,2568-BRGYX,Male,0,No,No,1,2,0,Electronic check,$70.20,237.95,Yes,3,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210116,$70.20,TRUE,Month-to-Month,One Line,Fiber Optic,False
1767,2568-OIADY,Female,0,Yes,No,2,2,0,Electronic check,$99.50,3762.0,Yes,38,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20180306,$99.50,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1769,2573-GYRUU,Male,1,Yes,No,2,2,0,Credit card (automatic),$91.05,4370.75,No,48,FALSE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20170430,$91.05,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
1770,2575-GFSOE,Female,0,Yes,Yes,1,2,0,Electronic check,$69.00,506.9,Yes,7,TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20200918,$69.00,TRUE,Month-to-Month,One Line,Fiber Optic,False
1771,2576-HXMPA,Female,0,No,No,1,0,0,Credit card (automatic),$19.55,19.55,No,1,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210330,$19.55,TRUE,Month-to-Month,One Line,No Internet Service,True
1777,2582-FFFZR,Female,0,No,No,0,1,0,Electronic check,$50.60,1073.3,No,21,TRUE,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20190724,$50.60,TRUE,Month-to-Month,No Phone Service,DSL,False
1778,2585-KTFRE,Male,0,No,Yes,1,1,0,Bank transfer (automatic),$70.45,70.45,No,1,FALSE,FALSE,TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,FALSE,20210330,$70.45,TRUE,Month-to-Month,One Line,DSL,True
1779,2586-CWXVV,Male,0,Yes,No,0,1,0,Electronic check,$30.40,1621.35,No,53,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE,20161119,$30.40,TRUE,Month-to-Month,No Phone Service,DSL,False
1780,2587-EKXTS,Male,0,No,No,2,2,0,Electronic check,$111.50,4915.15,No,44,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20170828,$111.50,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1784,2592-SEIFQ,Male,0,No,No,0,1,0,Electronic check,$24.75,66.95,Yes,3,FALSE,TRUE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210206,$24.75,TRUE,Month-to-Month,No Phone Service,DSL,False
1785,2592-YKDIF,Female,0,No,No,1,0,0,Mailed check,$20.35,20.35,No,1,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210330,$20.35,TRUE,Month-to-Month,One Line,No Internet Service,False
1789,2603-HVKCG,Male,0,No,No,1,2,0,Electronic check,$101.40,3143.65,No,31,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20180930,$101.40,TRUE,Month-to-Month,One Line,Fiber Optic,False
1790,2604-IJPDU,Female,0,Yes,No,1,2,0,Electronic check,$96.55,1901.65,No,20,TRUE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20190908,$96.55,TRUE,Month-to-Month,One Line,Fiber Optic,False
1791,2604-XVDAM,Female,0,No,No,1,1,0,Bank transfer (automatic),$43.80,540.95,No,12,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200419,$43.80,TRUE,Month-to-Month,One Line,DSL,True
1793,2606-RMDHZ,Male,0,No,No,0,1,0,Credit card (automatic),$30.50,208.7,Yes,7,FALSE,TRUE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20201003,$30.50,TRUE,Month-to-Month,No Phone Service,DSL,True
1795,2607-FBDFF,Male,0,No,No,1,1,0,Credit card (automatic),$49.00,49.0,No,1,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210330,$49.00,TRUE,Month-to-Month,One Line,DSL,True
1796,2608-BHKFN,Female,0,No,No,1,2,0,Credit card (automatic),$70.05,266.9,Yes,4,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210104,$70.05,TRUE,Month-to-Month,One Line,Fiber Optic,True
1797,2609-IAICY,Female,0,No,No,2,2,0,Electronic check,$77.15,77.15,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210330,$77.15,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1799,2612-RANWT,Female,0,No,No,2,2,0,Bank transfer (automatic),$100.15,1164.3,Yes,12,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200511,$100.15,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
1800,2612-RRIDN,Male,0,No,No,1,2,0,Electronic check,$81.00,340.85,Yes,4,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20201223,$81.00,TRUE,Month-to-Month,One Line,Fiber Optic,False
1801,2615-YVMYX,Male,1,Yes,No,2,2,0,Electronic check,$107.50,7713.55,No,72,FALSE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20150509,$107.50,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1803,2616-UUTFK,Male,0,Yes,No,2,1,0,Bank transfer (automatic),$72.75,2447.45,No,34,FALSE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20180711,$72.75,TRUE,Month-to-Month,Two or More Lines,DSL,True
1804,2619-WFQWU,Female,0,No,No,1,2,0,Mailed check,$70.15,70.15,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210330,$70.15,TRUE,Month-to-Month,One Line,Fiber Optic,False
1805,2621-UDNLU,Female,0,Yes,No,1,0,0,Mailed check,$20.85,72.0,No,3,TRUE,FALSE,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,20210114,$20.85,TRUE,Month-to-Month,One Line,No Internet Service,False
1807,2625-TRCZQ,Female,0,Yes,No,0,1,0,Electronic check,$49.65,2553.35,No,51,TRUE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE,20170116,$49.65,TRUE,Month-to-Month,No Phone Service,DSL,False
1808,2626-URJFX,Male,0,Yes,Yes,2,1,0,Electronic check,$50.90,225.6,Yes,4,FALSE,TRUE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20201216,$50.90,TRUE,Month-to-Month,Two or More Lines,DSL,False
1812,2632-UCGVD,Male,1,Yes,No,2,2,0,Credit card (automatic),$100.05,6871.9,Yes,69,FALSE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20150810,$100.05,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
1814,2636-ALXXZ,Female,1,No,No,1,2,0,Electronic check,$69.60,69.6,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210330,$69.60,TRUE,Month-to-Month,One Line,Fiber Optic,False
1815,2636-OHFMN,Male,0,Yes,No,0,1,0,Electronic check,$48.55,201.0,Yes,4,FALSE,TRUE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE,20201225,$48.55,TRUE,Month-to-Month,No Phone Service,DSL,False
1817,2637-FKFSY,Female,0,Yes,No,1,1,0,Mailed check,$46.10,130.15,No,3,TRUE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20210203,$46.10,TRUE,Month-to-Month,One Line,DSL,False
1819,2640-LYMOV,Male,0,No,No,1,0,0,Mailed check,$19.65,38.8,No,2,FALSE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210228,$19.65,TRUE,Month-to-Month,One Line,No Internet Service,False
1820,2640-PMGFL,Male,0,No,Yes,2,2,0,Electronic check,$79.50,2180.55,Yes,27,FALSE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,FALSE,20190116,$79.50,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1821,2642-DTVCO,Male,1,No,No,2,2,0,Electronic check,$85.05,746.5,Yes,9,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200806,$85.05,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1823,2645-QTLMB,Male,0,No,No,1,2,0,Electronic check,$94.25,669.0,Yes,7,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200926,$94.25,TRUE,Month-to-Month,One Line,Fiber Optic,False
1827,2654-VBVPB,Female,0,No,No,1,0,0,Bank transfer (automatic),$19.90,19.9,No,1,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210330,$19.90,TRUE,Month-to-Month,One Line,No Internet Service,True
1828,2656-FMOKZ,Female,1,No,No,2,2,0,Mailed check,$74.45,1145.7,Yes,15,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200117,$74.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1829,2656-TABEH,Male,0,Yes,No,2,2,0,Electronic check,$100.20,420.2,Yes,4,FALSE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20201223,$100.20,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1830,2657-ALMWY,Female,1,Yes,No,1,2,0,Electronic check,$84.95,2169.75,Yes,26,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20190315,$84.95,TRUE,Month-to-Month,One Line,Fiber Optic,False
1831,2657-VPXTA,Female,0,Yes,Yes,1,2,0,Electronic check,$88.85,929.45,No,10,TRUE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20200615,$88.85,TRUE,Month-to-Month,One Line,Fiber Optic,False
1833,2660-EMUBI,Male,1,No,No,2,2,0,Electronic check,$95.35,898.35,Yes,9,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200717,$95.35,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1837,2665-NPTGL,Female,1,Yes,No,2,2,0,Bank transfer (automatic),$98.10,2510.7,No,26,TRUE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20190313,$98.10,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
1839,2668-TZSPS,Male,0,No,No,1,0,0,Mailed check,$20.45,20.45,No,1,FALSE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210330,$20.45,TRUE,Month-to-Month,One Line,No Internet Service,False
1840,2669-OIDSD,Female,0,Yes,No,1,2,0,Credit card (automatic),$100.05,4834.0,No,48,TRUE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20170421,$100.05,TRUE,Month-to-Month,One Line,Fiber Optic,True
1841,2669-QVCRG,Female,0,No,No,2,2,0,Credit card (automatic),$81.30,3190.65,No,39,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20180122,$81.30,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
1842,2672-DZUOY,Male,0,No,No,0,1,0,Electronic check,$25.15,25.15,Yes,1,FALSE,TRUE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210330,$25.15,TRUE,Month-to-Month,No Phone Service,DSL,False
1843,2672-HUYVI,Female,0,No,No,1,2,0,Electronic check,$91.10,455.3,Yes,5,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20201128,$91.10,TRUE,Month-to-Month,One Line,Fiber Optic,False
1844,2672-OJQZP,Female,0,No,No,1,1,0,Mailed check,$44.75,44.75,No,1,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210330,$44.75,TRUE,Month-to-Month,One Line,DSL,False
1845,2672-TGEFF,Female,0,Yes,Yes,2,2,0,Electronic check,$88.80,3340.55,No,38,TRUE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20180312,$88.80,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1848,2674-MIAHT,Female,0,No,No,2,2,0,Mailed check,$80.30,324.2,No,4,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20201228,$80.30,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1849,2674-MLXMN,Female,1,No,No,2,2,0,Credit card (automatic),$99.65,6951.15,No,70,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20150709,$99.65,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
1850,2675-DHUTR,Male,1,Yes,No,2,2,0,Electronic check,$98.90,5780.7,No,58,FALSE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20160617,$98.90,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1852,2675-OTVVJ,Male,1,Yes,No,2,2,0,Electronic check,$89.45,2807.65,No,31,FALSE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20180918,$89.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1853,2676-ISHSF,Male,0,No,No,1,0,0,Mailed check,$20.30,20.3,No,1,FALSE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210330,$20.30,TRUE,Month-to-Month,One Line,No Internet Service,False
1854,2676-OXPPQ,Male,0,No,No,1,1,0,Bank transfer (automatic),$55.70,335.65,No,6,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20201028,$55.70,TRUE,Month-to-Month,One Line,DSL,True
1858,2683-BPJSO,Male,0,Yes,No,2,2,0,Electronic check,$84.45,2467.1,Yes,29,FALSE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20181123,$84.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1859,2683-JXWQQ,Male,0,Yes,Yes,0,1,0,Bank transfer (automatic),$33.60,2117.2,No,63,FALSE,FALSE,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE,20160130,$33.60,TRUE,Month-to-Month,No Phone Service,DSL,True
1860,2684-EIWEO,Female,1,No,No,2,2,0,Credit card (automatic),$91.70,2758.15,Yes,30,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20181028,$91.70,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
1861,2685-SREOM,Female,0,Yes,Yes,2,2,0,Electronic check,$89.10,2368.4,Yes,27,TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20190211,$89.10,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1862,2688-BHGOG,Male,1,No,No,1,2,0,Electronic check,$79.55,718.55,No,9,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200729,$79.55,TRUE,Month-to-Month,One Line,Fiber Optic,False
1864,2691-NZETQ,Male,0,No,No,2,2,0,Electronic check,$85.35,758.6,Yes,9,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200802,$85.35,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1866,2692-BUCFV,Male,1,No,No,1,2,0,Bank transfer (automatic),$101.45,2948.6,No,29,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20181127,$101.45,TRUE,Month-to-Month,One Line,Fiber Optic,True
1867,2692-PFYTJ,Female,0,No,No,2,0,0,Mailed check,$25.75,25.75,No,1,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210330,$25.75,TRUE,Month-to-Month,Two or More Lines,No Internet Service,False
1868,2694-CIUMO,Female,0,No,No,2,2,0,Credit card (automatic),$79.55,958.25,No,12,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200428,$79.55,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
1870,2696-NARTR,Male,0,No,No,1,2,0,Electronic check,$73.85,926.25,Yes,13,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200413,$73.85,TRUE,Month-to-Month,One Line,Fiber Optic,False
1872,2697-NQBPF,Male,0,No,No,2,2,0,Electronic check,$105.35,3540.65,No,34,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20180712,$105.35,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1873,2700-LUEVA,Male,0,No,No,1,0,0,Credit card (automatic),$20.75,20.75,No,1,FALSE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210330,$20.75,TRUE,Month-to-Month,One Line,No Internet Service,True
1876,2709-UQGNP,Male,0,No,No,1,1,0,Mailed check,$51.65,524.5,No,10,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200625,$51.65,TRUE,Month-to-Month,One Line,DSL,False
1878,2712-SYWAY,Female,0,No,No,2,0,0,Electronic check,$25.70,25.7,No,1,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210330,$25.70,TRUE,Month-to-Month,Two or More Lines,No Internet Service,False
1879,2716-GFZOR,Male,0,Yes,No,1,2,0,Credit card (automatic),$86.10,3551.65,No,41,FALSE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20171122,$86.10,TRUE,Month-to-Month,One Line,Fiber Optic,True
1880,2717-HVIZY,Female,0,No,Yes,1,0,0,Mailed check,$20.05,163.6,No,8,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,20200824,$20.05,TRUE,Month-to-Month,One Line,No Internet Service,False
1881,2718-GAXQD,Female,1,Yes,Yes,1,1,0,Electronic check,$46.00,181.6,Yes,4,TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20201230,$46.00,TRUE,Month-to-Month,One Line,DSL,False
1883,2719-BDAQO,Male,0,No,No,1,2,0,Electronic check,$93.85,1625.65,Yes,17,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20191120,$93.85,TRUE,Month-to-Month,One Line,Fiber Optic,False
1884,2720-FVBQP,Female,0,Yes,Yes,2,1,0,Credit card (automatic),$48.95,273.25,No,6,TRUE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20201111,$48.95,TRUE,Month-to-Month,Two or More Lines,DSL,True
1885,2720-WGKHP,Male,1,No,No,2,2,0,Electronic check,$94.00,181.7,Yes,2,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210302,$94.00,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
1886,2722-JMONI,Female,1,Yes,No,1,1,0,Electronic check,$49.55,49.55,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20210330,$49.55,TRUE,Month-to-Month,One Line,DSL,False
1890,2725-KXXWT,Male,0,Yes,No,1,2,0,Electronic check,$90.75,90.75,Yes,1,FALSE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20210330,$90.75,TRUE,Month-to-Month,One Line,Fiber Optic,False
1894,2732-ISEZX,Female,0,No,No,1,0,0,Mailed check,$20.50,104.3,No,5,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20201126,$20.50,TRUE,Month-to-Month,One Line,No Internet Service,False
1895,2737-WFVYW,Female,0,No,No,0,1,0,Electronic check,$45.25,85.5,Yes,2,TRUE,TRUE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210303,$45.25,TRUE,Month-to-Month,No Phone Service,DSL,False
1896,2737-YNGYW,Female,0,No,No,1,2,0,Electronic check,$80.55,184.1,Yes,2,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210219,$80.55,TRUE,Month-to-Month,One Line,Fiber Optic,False
1897,2739-CACDQ,Female,1,No,No,2,2,0,Credit card (automatic),$82.65,1470.05,No,18,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20191105,$82.65,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
1898,2739-CCZMB,Male,0,No,Yes,1,0,0,Credit card (automatic),$20.35,122.0,No,6,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,20201029,$20.35,TRUE,Month-to-Month,One Line,No Internet Service,True
1899,2740-JFBOK,Male,0,No,No,2,0,0,Electronic check,$24.00,226.55,No,9,FALSE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20200716,$24.00,TRUE,Month-to-Month,Two or More Lines,No Internet Service,False
1900,2740-TVLFN,Male,0,No,No,2,1,0,Electronic check,$50.15,50.15,No,1,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210330,$50.15,TRUE,Month-to-Month,Two or More Lines,DSL,False
1906,2754-SDJRD,Female,1,No,No,2,2,0,Credit card (automatic),$100.15,908.55,No,9,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200728,$100.15,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
